ladder,rung,gamma,k
spin,1,0.7925433565945669,0.8510181797261981
spin,1,1.7742877524026537,0.3989550287516917
spin,1,1.2654698014872998,0.6503023071824346
spin,1,0.5496125649482023,0.9263634827117833
spin,1,1.9492270482368594,0.31526866010494764
spin,1,1.4643254655614928,0.5531349077436478
spin,1,1.9856623156702895,0.2984663545008512
spin,1,1.4446850498884738,0.562888631264906
spin,1,2.124665099967763,0.2370092334639457
spin,1,2.641907794091887,0.061133197642544546
spin,1,0.5142296495860695,0.9353359442261142
spin,1,0.48427345933961197,0.9425067174576216
spin,1,1.3948650115462808,0.5875125763981234
spin,1,2.5468960215204426,0.085840749445089
spin,1,0.636686245067958,0.9020351548551436
spin,1,1.3696355933706112,0.5999033963703763
spin,1,1.4156548529301223,0.5772599377777149
spin,1,3.0178636080022456,0.003822339135806319
spin,1,0.9679631639640381,0.7834892571580586
spin,1,1.2403176949888097,0.6622478986079239
spin,1,0.9406279219615566,0.7946404126626849
spin,1,1.0483215256637868,0.749513146966771
spin,1,1.2384227358329238,0.6631438155122488
spin,1,1.9189343778640484,0.3294259249701967
spin,1,0.9432947734961289,0.793562053795306
spin,1,2.495963785367637,0.10063923281870087
spin,1,1.1762987966459528,0.6921721811520669
spin,1,1.4298119048490274,0.5702589186149714
spin,1,1.9214658935421074,0.32823664836184585
spin,1,1.1676417849037444,0.6961609627020551
spin,1,1.8327190367291468,0.37053091841531965
spin,1,1.782312482500216,0.3950287465834721
spin,1,2.0743971873662113,0.258708761969591
spin,1,2.3759294461302867,0.13953854844052452
spin,1,1.6117700293382529,0.4795188806194005
spin,1,2.543205895695103,0.08687727723065695
spin,1,1.3622232064811548,0.6035320778321247
spin,1,1.277859861751599,0.6443824189234769
spin,1,1.149282377433192,0.7045711778238853
spin,1,1.4962180724029606,0.5372545703084556
spin,1,0.909674011786248,0.8070015428936209
spin,1,1.479636804221392,0.545516659097395
spin,1,1.2035016207497284,0.679545946124085
spin,1,0.3267421804078016,0.9735464975173033
spin,1,2.761724512335681,0.03564323169446533
spin,1,1.822946655177825,0.3752565672285026
spin,1,2.0134736167056695,0.2858198909344611
spin,1,1.5926180448749572,0.48909000687491583
spin,1,1.6245061908462137,0.473157977737402
spin,1,1.5342877855486212,0.5182502157875251
spin,1,1.978627811755366,0.30169019898778093
spin,1,1.7693885585711127,0.40135528609861687
spin,1,1.6273480280083357,0.4717392184591143
spin,1,2.1311619793592618,0.23425201829614048
spin,1,1.8167535785329252,0.37825756042185854
spin,1,1.6077958658010656,0.48150445113356993
spin,1,1.5747868178183415,0.4980047597836611
spin,1,1.2189826964152084,0.6723004587361578
spin,1,2.740587535310235,0.03966544134111491
spin,1,1.5249694611892595,0.5229054135554019
spin,1,1.7000571848940746,0.4355493988340155
spin,1,1.603028464673699,0.48388672144175704
spin,1,1.319681431746789,0.6242420204656617
spin,1,2.1151293548046035,0.2410761853569229
spin,1,1.428349399726747,0.5709828403985591
spin,1,2.0724783934685567,0.25954949397095123
spin,1,0.8863154675375786,0.8161354469001274
spin,1,1.2845169915655459,0.6411924749179578
spin,1,1.468548903587937,0.5510346790458382
spin,1,2.4849403632602414,0.10397983095128395
spin,1,1.05443120634384,0.746861222064094
spin,1,1.4989118202488945,0.5359113067092669
spin,1,1.8438475600116868,0.36516455986943797
spin,1,0.586985052493931,0.9163071496264699
spin,1,0.7864183380849898,0.8531925204546007
spin,1,2.2266713547197168,0.1950735254424866
spin,1,1.0532251055754893,0.7473854667840513
spin,1,0.6467720952170498,0.8990165659542122
spin,1,1.8039251004729642,0.3844886077539393
spin,1,0.5920119998349016,0.9149097998431228
spin,1,2.1115234221133807,0.24262025416925417
spin,1,0.1744651918107585,0.9924097562663267
spin,1,1.0659815725265953,0.7418226548439225
spin,1,2.6405919306000483,0.06144882480692926
spin,1,2.7605334318221724,0.03586438617161318
spin,1,1.0341677345337903,0.7556206947563412
spin,1,2.3946282289334855,0.13312266982066354
spin,1,0.2754934221520213,0.9811455466005209
spin,1,2.1195075994504613,0.23920593823638397
spin,1,1.9786220103429821,0.301692861790253
spin,1,1.3946596638015485,0.5876136635469141
spin,1,0.596911735013675,0.9135377209757038
spin,1,1.754062628010082,0.4088789287232905
spin,1,1.1959214531310256,0.6830780476047952
spin,1,2.5146218979695107,0.0950957691638598
spin,1,1.1799025370535077,0.6905074686919227
spin,1,1.1124519717649166,0.7212319771832868
spin,1,0.8648606692573493,0.8243730766792521
spin,1,0.31946137952600256,0.9747023561859673
spin,1,2.1739405525291,0.21638264023518905
spin,1,0.41140585347409786,0.9582797651914975
spin,1,1.084768804823692,0.7335585680623
spin,1,2.369845211982063,0.14165344076955977
spin,1,1.4609757394859408,0.5547999853664977
spin,1,2.003435799092977,0.2903657312851165
spin,1,0.2130385676953436,0.9886964905785923
spin,1,2.204355125162749,0.2039916859593274
spin,1,1.2374617919004645,0.6635979161097114
spin,1,0.9827576621494273,0.7773651002558396
spin,1,3.0413243809497015,0.002511326550617531
spin,1,2.1767379398046693,0.2152318486610154
spin,1,1.6731486926985404,0.4489131239298513
spin,1,1.0548397778587137,0.746683550577822
spin,1,2.0519346193318726,0.26860573207075594
spin,1,1.1980630741124363,0.6820811821281957
spin,1,1.2796002222453415,0.6435490900697861
spin,1,0.6620073074469486,0.894379963375179
